title,price
WORLD OF FINAL FANTASY (English Ver.),"Rp 330,000"
The Crew (English),"Rp 289,000"
ABZU (English),"Rp 266,000"
"JUDGE EYES: wills of death Remastered (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 239,000"
ReadySet Heroes (English/Chinese/Korean Ver.),"Rp 309,000"
"This Is the Police 2 (English, Korean, Japanese, Traditional Chinese)","Rp 128,700"
South Park: The Stick of Truth (English),"Rp 359,000"
"Embr (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Starlink: Battle for Atlas - Digital Edition (English/Chinese/Korean/Japanese Ver.),"Rp 289,000"
YAKUZA KIWAMI (English Ver.),"Rp 131,120"
Yakuza Kiwami 2 (English Ver.),"Rp 297,000"
DRAGON QUEST BUILDERS™ (English Ver.),"Rp 299,000"
DRAGON QUEST BUILDERS：Alefgard wo Fukkatsu Seyo (PS4™) (Japanese Ver.),"Rp 814,000"
DRAGON QUEST HEROES: The World Tree's Woe and the Blight Below (English Ver.),"Rp 339,000"
Dragon Quest Heroes™: Yamiryuu to Sekaiju no Shiro full game (Japanese Ver.),"Rp 339,000"
"FINAL FANTASY VII REMAKE INTERGRADE (Japanese/English Version) (English, Japanese)","Rp 579,000"
"Marvel's Guardians of the Galaxy PS4 & PS5 (English/Japanese Version) (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 829,000"
KNACK full game (English/Chinese/Korean Ver.),"Rp 299,000"
Transference™ - Digital Edition (English/Chinese/Korean/Japanese Ver.),"Rp 289,000"
"Observer: System Redux (Simplified Chinese, English, Korean, Japanese)","Rp 429,000"
The Elder Scrolls Online - PS4 (English),Included
"Eagle Flight (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 539,000"
Bomber Crew (English/Japanese Ver.),"Rp 140,000"
"Deliver Us The Moon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 235,000"
"Deliver Us The Moon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 235,000"
Valiant Hearts: The Great War full game (English),"Rp 140,000"
"Overcooked! 2 (Simplified Chinese, English, Korean, Japanese)","Rp 348,000"
"Caladrius Blaze (English, Korean)","Rp 286,000"
The MISSING: J.J. Macfield and the Island of Memories (English/Chinese/Korean/Japanese Ver.),"Rp 384,000"
"Destruction AllStars (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 279,000"
inFAMOUS Second Son™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 279,000"
Until Dawn™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 279,000"
Space Junkies™ - Digital Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 459,000"
Star Trek: Bridge Crew - Digital Standard (English),"Rp 289,000"
Risk Urban Assault (English),"Rp 195,000"
Werewolves Within (English),"Rp 359,000"
TorqueL full game (English Ver.),"Rp 106,000"
"Tetris® Effect: Connected (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 496,000"
"Rez Infinite (Simplified Chinese, English, Korean, Japanese)","Rp 336,000"
"Portal Knights (Simplified Chinese, English, Korean)","Rp 140,000"
Child Of Light (English/Japanese Ver.),Included
"Hotshot Racing (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 190,000"
KINGDOM HEARTS Melody of Memory (English),"Rp 699,000"
"The Surge (Simplified Chinese, English, Korean)","Rp 232,000"
"OVERPASS™ (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 429,000"
"Oddworld: Soulstorm Enhanced Edition (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 579,000"
"Necromunda: Underhive Wars (Simplified Chinese, English)","Rp 69,750"
"Marvel's Spider-Man: Miles Morales PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 729,000"
Hotline Miami 2: Wrong Number (English Ver.),"Rp 189,000"
How to Survive 2 (English),"Rp 39,600"
Surviving Mars (English),"Rp 398,000"
MATTERFALL™ (English/Chinese/Korean Ver.),"Rp 239,000"
"Concrete Genie Digital Deluxe Edition (English, Korean, Thai, Traditional Chinese)","Rp 579,000"
"Warhammer 40,000: Inquisitor - Martyr (English)","Rp 655,000"
"Oddworld: Soulstorm Enhanced Edition (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 579,000"
"Assassin's Creed® Syndicate - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 107,700"
OUTRIDERS PS4 & PS5 (English),"Rp 579,000"
"Control: Ultimate Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 570,000"
Assassin's Creed® IV Black Flag - Digital Standard Edition – PlayStation®Hits (English),"Rp 279,000"
"Assassin's Creed Origins - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 98,850"
Assassin's Creed® Freedom Cry Standalone full game (English/Chinese/Japanese Ver.),"Rp 104,000"
"Assetto Corsa Competizione (English, Korean)","Rp 769,000"
"Assetto Corsa Competizione (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 579,000"
"Assassin's Creed Chronicles - Russia (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 41,600"
SOULCALIBUR VI (English),"Rp 102,000"
"Space Crew: Legendary Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Trials of the Blood Dragon Game (Simplified Chinese, English)","Rp 195,000"
"Age of Wonders: Planetfall (English, Korean)","Rp 715,000"
"No Straight Roads (Simplified Chinese, English, Korean, Malay, Japanese, Traditional Chinese)","Rp 769,000"
Payday 2 Crimewave Edition (English),"Rp 266,000"
NARUTO TO BORUTO: SHINOBI STRIKER (English),"Rp 279,000"
"Monster Truck Championship (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","Rp 579,000"
"Maneater PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
Mahjong (English),"Rp 139,000"
"Magicka 2: Base Edition (English, Korean, Traditional Chinese)","Rp 204,000"
MudRunner (English Ver.),"Rp 499,000"
LOST SPHEAR (Japanese Ver.),"Rp 470,000"
Just Cause 4: Reloaded (English Ver.),"Rp 499,000"
FINAL FANTASY X/X-2 HD Remaster (English Ver.),"Rp 339,000"
FINAL FANTASY X/X-2 HD Remaster (Japanese Ver.),"Rp 339,000"
Assassin's Creed® III Remastered - Digital Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 114,750"
"DEATHLOOP (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 829,000"
"Assassin's Creed Unity - Digital Standard Edition (English, Korean, Traditional Chinese)","Rp 78,900"
Hohokum™ full game (English Ver.),"Rp 170,000"
"The Crew 2 - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 570,000"
"Control: Ultimate Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
"Hollow Knight (Simplified Chinese, English, Korean, Japanese)","Rp 208,000"
"Maneater PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
"Mortal Shell: Enhanced Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"STEEP - Digital Standard Edition (Simplified Chinese, English, Traditional Chinese)","Rp 229,000"
"Everybody's Golf (English, Korean, Traditional Chinese)","Rp 214,500"
Shadow of the Colossus™ (English/Chinese/Korean Ver.),"Rp 369,000"
FINAL FANTASY XII THE ZODIAC AGE (Chinese/Korean Ver.),"Rp 617,000"
GRAVITY RUSH 2  (Standard Edition) (English/Chinese/Korean Ver.),"Rp 349,500"
Darksiders Genesis (Game),"Rp 579,000"
"Warhammer: Chaosbane Slayer Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 829,000"
"Bloodstained: Ritual of the Night (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 550,000"
WATCH_DOGS™ - Digital Standard Edition PlayStation®Hits (English),"Rp 279,000"
"Horizon Zero Dawn™: Complete Edition PlayStation®Hits (Simplified Chinese, English, Korean)","Rp 309,000"
UNCHARTED 4: A Thief's End™ PlayStation®Hits (Game),Included
UNCHARTED: The Lost Legacy™ (English/Chinese/Korean Ver.),Included
Saints Row IV: Re-Elected (English),"Rp 42,600"
Saints Row: Gat out of Hell (English),"Rp 213,000"
"Assassin's Creed Rogue Remastered - Digital Standard Edition (English, Korean, Traditional Chinese)","Rp 107,700"
"Assassin's Creed The Ezio Collection (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 146,700"
"Human: Fall Flat PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 195,000"
Monopoly Plus (English),"Rp 50,700"
Rabbids®Invasion: The interactive TV Show full game (English),"Rp 396,000"
"Terraria – PlayStation®4 Edition (English, Korean)","Rp 272,000"
"Watch Dogs 2 - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean)","Rp 41,850"
